Name: bar-n10-m4-c2-OD0.0
Type: GPDPOD-IMC
Commodity type: 4
Compartment num: 2
CapacityHD: 100
VehicleHDs: 2
CapacityOD: 50
VehicleODs: 0
ID Xc Yc DEMAND StartT EndT SerT PairedID
0,41.3722496,2.1636008,[0, 0, 0, 0],0,240,0,0
1,41.3684347,2.0991589,[7, 2, 1, 16],67,187,10,6
2,41.3189186,2.1017005,[14, 6, 2, 7],0,240,10,7
3,41.4166572,2.1910521,[14, 6, 2, 10],112,232,10,8
4,41.4368981,2.2348379,[14, 6, 2, 19],127,240,10,9
5,41.4250776,2.2272202,[14, 6, 2, 34],0,240,10,10
6,41.4505409,2.2368208,[-7, -2, -1, -16],105,223,10,1
7,41.4269596,2.2253214,[-14, -6, -2, -7],0,240,10,2
8,41.386186,2.1769304,[-14, -6, -2, -10],133,234,10,3
9,41.4303138,2.1855012,[-14, -6, -2, -19],149,225,10,4
10,41.4251356,2.0984945,[-14, -6, -2, -34],0,240,10,5
StartID EndID StartX StartY EndX EndY StartT EndT
edge
0,14,15,12,15,13,16,13,7,16,19
12,0,12,18,24,23,24,23,15,19,16
14,12,0,21,23,21,24,20,16,25,23
14,19,22,0,10,9,11,9,10,5,20
16,23,24,11,0,4,6,4,14,11,24
14,22,22,9,5,0,7,2,12,9,23
17,24,25,11,6,8,0,8,14,12,25
14,22,22,9,4,1,7,0,11,9,23
6,16,15,8,12,10,13,10,0,11,18
15,18,24,4,11,10,12,10,12,0,19
19,15,22,20,25,24,25,24,18,20,0
