Name: bar-n15-m4-c2-OD0.8
Type: GPDPOD-IMC
Commodity type: 4
Compartment num: 2
CapacityHD: 100
VehicleHDs: 4
CapacityOD: 50
VehicleODs: 0
ID Xc Yc DEMAND StartT EndT SerT PairedID
0,41.3722496,2.1636008,[0, 0, 0, 0],0,240,0,0
1,41.4493932,2.2198353,[14, 6, 2, 19],43,163,10,8
2,41.4487614,2.2160931,[7, 2, 1, 10],117,237,10,9
3,41.3597275,2.0909717,[7, 2, 1, 8],114,234,10,10
4,41.4480155,2.2171536,[7, 2, 1, 12],128,240,10,11
5,41.3783978,2.1277763,[14, 6, 2, 7],42,162,10,12
6,41.3328466,2.0921043,[14, 6, 2, 21],104,224,10,13
7,41.3638313,2.0926901,[14, 6, 2, 18],23,143,10,14
8,41.4477782,2.2093682,[-14, -6, -2, -19],57,177,10,1
9,41.4029761,2.1475665,[-7, -2, -1, -10],142,231,10,2
10,41.4530228,2.2052872,[-7, -2, -1, -8],144,223,10,3
11,41.3949328,2.12944,[-7, -2, -1, -12],158,231,10,4
12,41.441527,2.2275919,[-14, -6, -2, -7],73,193,10,5
13,41.3745313,2.1450922,[-14, -6, -2, -21],125,235,10,6
14,41.4026572,2.1572714,[-14, -6, -2, -18],50,170,10,7
StartID EndID StartX StartY EndX EndY StartT EndT
15,27,41.322348,2.0923512,41.4401413,2.1478097,89,491
16,28,41.44524,2.2213186,41.3734167,2.0916796,42,495
17,29,41.351608,2.0737941,41.3672918,2.1148142,37,454
18,30,41.4625923,2.2045488,41.4082703,2.1708935,101,488
19,31,41.3282617,2.0916566,41.445594,2.223019,0,465
20,32,41.4397456,2.225673,41.4676564,2.0622343,0,486
21,33,41.3904608,2.1457467,41.4463448,2.1763859,51,480
22,34,41.3741969,2.1245221,41.4012738,2.1441641,140,440
23,35,41.388833,2.0858048,41.3914257,2.1634969,89,521
24,36,41.3608153,2.0761441,41.4485571,2.1827231,72,516
25,37,41.4520396,2.2128935,41.4046304,2.2047496,0,426
26,38,41.4474967,2.2216705,41.3908214,2.1745486,104,491
edge
0,18,17,15,17,8,16,16,16,10,17,10,17,6,11,15,18,15,19,16,16,7,9,18,17,17,18,19,15,12,11,18,20,19,9,7,18,11,8
18,0,3,22,2,20,27,22,4,16,5,18,7,22,17,26,7,25,7,28,7,19,22,23,23,3,5,13,20,24,13,6,23,9,17,16,8,12,17
16,2,0,21,1,19,26,20,3,15,3,17,6,20,16,25,5,23,5,26,6,17,20,22,21,2,3,12,19,22,12,4,22,8,16,15,7,11,15
15,23,21,0,21,10,12,5,21,14,20,12,25,13,16,12,25,5,21,13,25,12,10,12,6,21,24,17,7,8,16,24,18,17,13,15,17,21,17
17,3,2,21,0,19,26,21,3,16,4,17,7,21,17,26,6,24,6,27,6,18,21,22,22,2,4,12,19,23,12,5,23,8,16,15,7,11,16
7,22,20,10,21,0,13,11,20,8,19,6,21,4,11,13,22,12,21,13,20,6,3,12,12,20,22,16,8,6,11,22,17,16,8,8,16,15,11
12,23,22,8,22,11,0,10,21,15,22,13,22,11,17,5,23,8,23,4,21,13,10,16,11,22,23,21,10,9,17,23,22,20,14,14,20,16,15
15,23,21,4,22,10,13,0,21,14,20,12,25,12,17,13,25,7,22,13,25,13,10,11,6,21,24,17,6,7,17,24,18,17,14,15,17,22,17
16,3,2,21,2,19,26,20,0,15,3,17,6,20,15,25,6,23,5,26,7,17,20,21,21,2,4,11,19,22,11,5,22,7,15,15,6,11,15
9,17,15,14,16,7,17,14,15,0,14,5,17,9,5,18,18,17,16,18,16,5,10,15,15,15,18,11,12,12,6,18,15,11,2,4,11,11,7
17,4,3,19,3,17,25,18,3,13,0,15,7,20,15,25,7,21,4,26,7,16,19,20,19,3,6,10,17,21,11,6,20,6,14,15,5,11,15
9,18,16,11,17,4,14,11,16,6,15,0,20,7,9,14,20,14,17,14,19,5,6,12,12,16,19,12,10,9,9,19,13,12,5,7,12,14,10
17,5,5,25,6,21,26,24,7,17,7,20,0,20,17,25,4,25,9,26,3,17,22,26,25,5,4,16,23,24,13,3,26,11,18,15,11,11,15
5,20,19,10,19,4,12,11,18,9,19,7,19,0,10,12,20,13,20,12,18,5,5,14,14,19,20,17,10,8,9,20,18,17,8,6,17,13,8
10,16,14,15,15,9,19,15,14,3,14,7,16,9,0,19,16,18,15,19,15,6,11,16,16,14,17,12,13,14,4,17,16,12,4,4,12,10,6
14,25,24,10,24,13,5,12,23,17,24,15,24,13,20,0,25,10,26,3,23,16,12,18,13,24,26,22,12,12,20,25,24,22,16,16,22,19,17
18,3,4,23,4,21,28,22,5,17,6,19,5,21,17,27,0,25,8,28,4,18,23,24,23,5,2,14,21,25,13,3,24,10,18,16,9,13,16
16,24,22,4,23,11,12,7,22,15,21,13,26,14,18,12,26,0,23,13,25,14,11,14,5,22,25,18,8,9,18,25,19,18,15,16,18,20,19
19,7,5,21,5,19,27,20,5,15,4,17,9,22,17,27,10,23,0,27,10,18,20,22,21,4,8,11,19,22,13,8,22,8,16,17,7,13,18
13,24,23,9,23,12,3,11,22,16,23,14,23,12,19,4,24,9,25,0,22,15,11,17,12,23,24,22,12,11,19,24,23,22,15,15,22,18,16
16,6,7,24,7,20,25,23,7,16,8,19,4,19,16,24,4,24,11,26,0,16,21,25,24,7,4,15,22,24,12,4,25,11,17,14,10,10,14
7,18,17,12,17,5,15,12,16,5,16,4,17,6,6,16,18,15,18,16,16,0,7,13,13,17,19,13,10,10,7,19,15,13,4,5,13,11,7
8,22,20,8,21,2,12,9,20,9,19,7,21,4,11,13,22,10,21,13,20,6,0,12,11,20,22,16,8,5,12,22,17,16,8,8,16,15,11
16,24,22,11,22,11,16,9,22,15,20,13,26,13,17,17,26,12,22,17,26,13,11,0,9,22,25,18,7,11,17,25,19,18,14,15,18,22,18
16,24,22,5,22,11,12,6,22,15,21,13,26,13,17,13,26,5,22,14,26,13,11,11,0,22,25,18,7,10,18,25,19,18,14,16,18,22,18
18,4,2,21,2,19,27,20,4,15,3,17,6,21,16,26,7,23,4,28,7,18,21,22,21,0,5,12,19,23,12,5,22,8,16,16,7,12,16
18,2,3,23,3,21,27,22,5,17,5,19,4,21,18,26,3,25,7,27,4,18,22,23,23,4,0,13,21,24,14,1,24,9,18,16,9,12,16
17,14,12,15,12,13,21,14,12,9,10,11,16,16,11,21,16,17,12,21,16,12,14,16,15,12,15,0,13,16,9,15,16,8,10,12,8,15,14
13,20,19,6,19,8,12,5,18,12,17,10,23,10,14,12,23,8,19,13,22,10,8,10,6,19,21,15,0,8,14,22,16,14,11,13,15,19,15
11,23,22,6,22,6,11,7,21,12,20,10,25,8,14,12,25,8,22,12,24,10,5,13,9,22,24,18,8,0,15,25,19,17,12,12,18,19,14
10,14,12,17,13,10,19,16,12,6,12,9,14,10,5,20,14,19,13,20,12,7,12,18,17,12,15,10,15,15,0,15,18,11,7,5,10,7,5
17,4,5,24,5,21,26,24,7,18,7,20,4,21,17,26,3,25,9,27,3,18,22,25,25,5,3,15,22,25,13,0,25,11,18,15,10,11,16
20,24,22,17,23,15,23,17,22,15,21,13,26,18,18,23,26,20,23,24,26,15,17,18,18,22,25,18,15,19,18,25,0,18,14,17,18,24,19
17,8,7,16,7,14,21,15,6,10,5,12,11,16,12,22,11,18,7,22,10,13,15,16,16,6,9,6,14,17,9,10,17,0,10,13,2,12,13
9,17,15,14,15,7,17,14,15,2,13,5,17,9,5,18,18,16,15,18,16,5,9,15,15,15,18,11,12,12,6,18,15,11,0,5,11,11,7
7,15,14,14,14,7,16,14,13,5,14,7,14,7,5,17,15,17,16,17,13,4,8,16,15,14,15,13,13,11,5,15,17,13,5,0,13,8,4
17,8,6,17,7,15,23,16,6,11,5,13,10,18,13,23,10,19,7,24,10,14,17,18,17,6,9,8,15,19,9,9,18,3,12,13,0,11,14
10,12,11,19,12,16,20,20,10,12,11,15,11,14,12,19,12,18,13,20,10,12,16,23,21,12,13,15,21,18,7,13,24,13,12,9,12,0,8
7,15,14,15,15,9,17,16,13,6,14,9,14,7,7,17,15,16,16,17,13,6,10,17,17,15,15,14,15,13,6,15,19,14,7,3,14,8,0
