Name: bar-n10-m4-c2-OD0.8
Type: GPDPOD-IMC
Commodity type: 4
Compartment num: 2
CapacityHD: 100
VehicleHDs: 2
CapacityOD: 50
VehicleODs: 0
ID Xc Yc DEMAND StartT EndT SerT PairedID
0,41.3722496,2.1636008,[0, 0, 0, 0],0,240,0,0
1,41.3684347,2.0991589,[7, 2, 1, 16],67,187,10,6
2,41.3189186,2.1017005,[14, 6, 2, 7],0,240,10,7
3,41.4166572,2.1910521,[14, 6, 2, 10],112,232,10,8
4,41.4368981,2.2348379,[14, 6, 2, 19],127,240,10,9
5,41.4250776,2.2272202,[14, 6, 2, 34],0,240,10,10
6,41.4505409,2.2368208,[-7, -2, -1, -16],105,223,10,1
7,41.4269596,2.2253214,[-14, -6, -2, -7],0,240,10,2
8,41.386186,2.1769304,[-14, -6, -2, -10],133,234,10,3
9,41.4303138,2.1855012,[-14, -6, -2, -19],149,225,10,4
10,41.4251356,2.0984945,[-14, -6, -2, -34],0,240,10,5
StartID EndID StartX StartY EndX EndY StartT EndT
11,19,41.4425434,2.213546,41.376977,2.1712554,59,506
12,20,41.4465068,2.237916,41.4190316,2.182984,0,720
13,21,41.4516487,2.2359664,41.4345712,2.2231087,0,720
14,22,41.4577076,2.2032435,41.4290784,2.2093427,0,411
15,23,41.4490281,2.2108257,41.376514,2.1375849,66,531
16,24,41.4512399,2.215386,41.4217479,2.1417851,0,426
17,25,41.3551318,2.1338972,41.4645297,2.0827599,0,456
18,26,41.4531346,2.2269082,41.4114417,2.1724649,0,720
edge
0,14,15,12,15,13,16,13,7,16,19,16,17,17,18,16,17,9,18,7,13,15,15,8,15,23,12
12,0,12,18,24,23,24,23,15,19,16,20,25,24,20,20,20,10,22,14,18,22,20,9,13,20,17
14,12,0,21,23,21,24,20,16,25,23,24,24,25,25,24,25,10,26,16,22,22,22,13,20,27,21
14,19,22,0,10,9,11,9,10,5,20,10,11,12,11,10,10,17,12,13,3,9,7,13,10,23,4
16,23,24,11,0,4,6,4,14,11,24,8,5,6,11,9,8,20,6,19,11,4,7,20,15,25,13
14,22,22,9,5,0,7,2,12,9,23,6,7,8,9,7,8,18,8,17,10,4,5,18,14,23,11
17,24,25,11,6,8,0,8,14,12,25,8,3,1,10,8,7,21,5,19,12,5,8,20,16,25,14
14,22,22,9,4,1,7,0,11,9,23,6,6,8,9,6,7,18,8,17,9,4,4,18,14,23,11
6,16,15,8,12,10,13,10,0,11,18,13,14,14,15,13,14,11,15,7,8,12,12,9,11,22,7
15,18,24,4,11,10,12,10,12,0,19,8,13,12,8,8,7,18,9,14,3,9,6,14,9,21,5
19,15,22,20,25,24,25,24,18,20,0,21,26,25,21,21,21,18,23,18,19,23,21,17,14,14,18
16,20,24,10,7,7,8,7,14,8,21,0,8,8,7,3,4,20,6,19,10,5,5,19,12,21,11
16,23,24,10,4,7,3,7,13,11,24,7,0,3,10,8,7,20,5,18,11,5,7,19,15,24,13
18,23,26,12,7,9,2,9,15,12,24,8,4,0,9,7,6,22,4,20,13,7,9,21,15,25,15
17,18,25,10,9,10,9,9,15,8,19,5,9,9,0,4,4,21,6,20,9,9,6,20,10,19,12
17,20,25,11,7,9,8,9,14,9,21,4,7,7,6,0,2,21,4,19,10,7,6,20,12,21,12
17,20,25,11,6,9,7,9,15,8,21,4,6,6,5,3,0,21,3,20,10,7,6,21,12,21,12
8,10,10,15,18,16,19,16,12,19,18,19,20,20,21,19,20,0,21,11,16,18,18,8,15,22,15
18,22,26,12,6,8,4,8,15,10,23,6,5,4,7,5,4,22,0,20,12,6,8,21,14,23,14
5,15,14,11,14,12,15,12,6,15,19,15,16,16,17,15,16,10,17,0,12,14,14,9,14,23,11
12,17,21,2,10,9,11,9,9,5,18,10,11,12,11,10,10,16,12,11,0,9,7,12,8,22,3
15,22,23,9,5,3,7,3,13,8,23,5,6,7,10,6,7,19,7,18,9,0,4,18,14,23,11
13,20,21,6,6,5,7,5,10,6,21,5,7,8,7,6,7,17,8,15,7,4,0,16,12,21,9
6,9,13,12,18,18,19,17,9,15,16,19,20,20,21,19,20,7,21,7,12,18,16,0,13,20,11
13,11,18,10,15,14,16,14,11,9,12,12,17,16,11,12,11,14,13,12,9,14,11,12,0,16,8
25,21,28,23,24,23,24,23,24,22,13,20,25,24,20,20,20,24,22,24,22,22,20,22,19,0,24
11,15,20,5,12,12,13,11,8,7,16,12,13,14,12,12,12,14,14,10,4,11,9,11,7,20,0
