Name: bar-n15-m3-c2-OD1.0
Type: GPDPOD-IMC
Commodity type: 3
Compartment num: 2
CapacityHD: 100
VehicleHDs: 4
CapacityOD: 50
VehicleODs: 1
ID Xc Yc DEMAND StartT EndT SerT PairedID
0,41.3722496,2.1636008,[0, 0, 0],0,240,0,0
1,41.4490281,2.2108257,[21, 2, 16],66,186,10,8
2,41.4277157,2.134492,[21, 2, 17],91,211,10,9
3,41.4551417,2.2083596,[21, 2, 12],68,188,10,10
4,41.4068073,2.162526,[5, 0, 8],0,240,10,11
5,41.411396,2.1370889,[10, 1, 12],111,231,10,12
6,41.3745388,2.1254753,[21, 2, 11],81,201,10,13
7,41.4433485,2.1807613,[10, 1, 7],15,135,10,14
8,41.376514,2.1375849,[-21, -2, -16],101,221,10,1
9,41.3781464,2.1438984,[-21, -2, -17],115,235,10,2
10,41.4500306,2.2226654,[-21, -2, -12],84,204,10,3
11,41.413884,2.1832137,[-5, 0, -8],0,240,10,4
12,41.4394006,2.1672105,[-10, -1, -12],129,223,10,5
13,41.383981,2.0602456,[-21, -2, -11],104,221,10,6
14,41.3737407,2.1591137,[-10, -1, -7],44,164,10,7
StartID EndID StartX StartY EndX EndY StartT EndT
15,30,41.3995238,2.1961495,41.3857565,2.0988148,83,512
16,31,41.3819329,2.0795768,41.3238794,2.0912046,0,438
17,32,41.3630995,2.0686934,41.376774,2.1326213,127,466
18,33,41.4497458,2.2077945,41.4625924,2.2398991,118,478
19,34,41.4493932,2.2198353,41.4477782,2.2093682,43,445
20,35,41.4130442,2.1544329,41.3769211,2.1677816,140,440
21,36,41.4337282,2.2172295,41.4382381,2.22407,44,443
22,37,41.4531224,2.2063556,41.3909772,2.1735894,112,475
23,38,41.4637349,2.2388505,41.4088045,2.1393822,126,468
24,39,41.442579,2.2111895,41.374026,2.113582,0,453
25,40,41.4441413,2.1803301,41.4394681,2.2171632,130,460
26,41,41.364272,2.0908178,41.4432,2.22515,49,523
27,42,41.3627279,2.0988052,41.3765834,2.1454686,73,499
28,43,41.357915,2.0903896,41.4207853,2.1543114,33,471
29,44,41.4659771,2.051335,41.3844065,2.1627032,64,508
edge
0,16,16,17,10,12,9,18,8,6,19,12,17,19,3,9,16,19,17,18,13,15,18,18,16,18,16,14,14,21,14,16,8,18,16,3,16,7,12,11,17,17,6,14,6
17,0,13,4,14,13,21,7,20,19,5,12,8,23,18,12,20,24,3,3,15,7,4,7,3,7,21,21,21,23,18,26,20,8,3,16,6,16,15,21,5,6,20,14,17
16,13,0,12,10,6,14,9,15,14,16,11,7,16,16,14,13,17,12,14,11,14,13,14,12,10,14,14,14,17,11,21,13,14,13,16,16,12,8,14,15,16,14,7,12
19,4,13,0,14,13,21,7,22,21,6,13,9,23,20,14,20,24,3,5,16,8,2,6,5,7,21,21,21,23,18,28,20,7,4,18,7,17,15,21,7,7,21,14,18
10,12,9,12,0,6,12,9,10,9,15,5,9,17,10,8,15,18,11,14,4,11,12,14,12,9,16,16,16,18,13,21,11,15,12,10,13,6,6,12,13,14,9,6,6
11,13,6,12,7,0,10,10,10,9,16,10,8,13,11,12,11,14,12,15,7,14,13,14,12,10,11,12,11,14,9,18,9,15,13,11,16,8,3,10,15,16,9,5,7
7,21,13,19,10,9,0,17,4,5,23,13,15,13,7,14,10,13,19,22,12,17,20,22,19,17,10,8,9,18,8,14,3,22,20,9,19,10,9,5,19,21,4,13,8
18,7,9,6,11,9,16,0,17,17,10,9,4,18,19,13,16,19,6,8,11,8,7,8,6,2,16,17,16,19,14,23,16,8,6,17,10,14,11,16,9,10,17,10,14
6,19,14,20,10,10,4,17,0,3,22,12,15,14,5,12,11,14,19,21,12,16,20,21,18,17,12,10,10,18,10,14,3,21,19,7,18,8,10,6,18,20,3,13,6
5,17,13,17,7,9,6,15,4,0,19,9,14,15,4,10,13,16,16,18,10,13,18,18,16,15,13,11,11,18,11,15,5,18,16,7,16,6,8,8,16,17,2,11,4
18,5,15,5,15,15,23,8,22,20,0,14,10,24,20,14,22,25,5,4,17,6,5,7,6,9,23,23,23,25,20,28,22,7,6,17,5,17,17,23,6,4,21,16,18
13,11,11,11,5,9,14,8,12,11,14,0,7,20,13,8,18,21,10,13,7,8,11,13,10,8,18,19,18,21,16,24,13,13,10,13,10,8,9,15,10,11,11,8,9
