Name: bar-n15-m8-c2-OD0.5
Type: GPDPOD-IMC
Commodity type: 8
Compartment num: 2
CapacityHD: 100
VehicleHDs: 10
CapacityOD: 50
VehicleODs: 0
ID Xc Yc DEMAND StartT EndT SerT PairedID
0,41.3722496,2.1636008,[0, 0, 0, 0, 0, 0, 0, 0],0,240,0,0
1,41.4487614,2.2160931,[10, 3, 3, 2, 2, 11, 10, 0],117,237,10,8
2,41.4439526,2.0660729,[5, 1, 2, 1, 5, 3, 6, 0],0,93,10,9
3,41.4582638,2.0713341,[21, 7, 12, 5, 0, 23, 14, 19],0,99,10,10
4,41.3736968,2.1209403,[21, 7, 12, 5, 0, 65, 0, 9],66,186,10,11
5,41.3833251,2.0764792,[21, 7, 6, 5, 5, 0, 23, 6],0,99,10,12
6,41.4441413,2.1803301,[21, 7, 5, 0, 5, 5, 0, 26],130,240,10,13
7,41.4567419,2.2083613,[21, 7, 6, 5, 5, 0, 23, 14],100,220,10,14
8,41.4029761,2.1475665,[-10, -3, -3, -2, -2, -11, -10, 0],142,231,10,1
9,41.4510034,2.1897076,[-5, -1, -2, -1, -5, -3, -6, 0],29,149,10,2
10,41.4065696,2.1451119,[-21, -7, -12, -5, 0, -23, -14, -19],27,147,10,3
11,41.4077817,2.1493673,[-21, -7, -12, -5, 0, -65, 0, -9],86,206,10,4
12,41.4322033,2.1872315,[-21, -7, -6, -5, -5, 0, -23, -6],39,159,10,5
13,41.4394681,2.2171632,[-21, -7, -5, 0, -5, -5, 0, -26],149,224,10,6
14,41.3853736,2.1685885,[-21, -7, -6, -5, -5, 0, -23, -14],130,234,10,7
StartID EndID StartX StartY EndX EndY StartT EndT
15,23,41.3995238,2.1961495,41.3857565,2.0988148,83,512
16,24,41.4446179,2.2398851,41.3182357,2.0824932,33,501
17,25,41.455319,2.2086932,41.4173957,2.2100637,0,720
18,26,41.4436929,2.2246727,41.4349816,2.1930256,0,720
19,27,41.3544296,2.0735694,41.3906531,2.0730443,25,454
20,28,41.4042244,2.1494187,41.4237267,2.1660094,0,720
21,29,41.452299,2.2327227,41.444196,2.2231824,128,464
22,30,41.3830452,2.0762528,41.4008741,2.1610253,56,512
edge
0,17,18,22,10,17,18,16,10,19,12,10,16,17,6,9,17,17,19,16,14,18,17,14,16,13,17,19,15,19,10
16,0,20,23,20,21,7,4,15,7,15,14,10,4,16,12,8,3,5,24,17,6,20,18,25,8,7,22,13,5,14
19,21,0,6,15,15,17,19,13,19,14,13,20,22,16,21,26,20,24,19,15,24,15,13,20,23,21,17,18,24,16
22,21,6,0,18,19,20,20,17,20,17,17,24,23,20,24,27,20,25,23,19,25,19,16,23,23,22,21,21,25,19
9,21,16,19,0,9,17,19,10,19,11,10,18,21,10,15,23,20,24,12,12,23,9,8,14,17,19,11,16,24,12
15,22,17,21,9,0,19,20,15,20,15,15,22,24,16,21,28,21,26,11,17,26,2,6,14,23,22,4,19,26,17
18,7,16,20,16,16,0,5,11,4,11,10,9,8,15,13,12,6,10,20,13,10,16,14,21,9,6,18,9,10,11
17,3,19,22,18,19,6,0,13,6,13,13,10,7,17,13,9,1,7,23,16,7,19,16,23,9,7,21,12,7,14
9,15,13,16,9,14,12,14,0,13,4,3,12,16,6,10,18,14,19,18,6,18,14,11,17,12,14,16,10,19,5
17,7,18,21,17,18,4,5,12,0,12,12,8,8,16,13,12,5,10,21,15,10,18,15,22,9,6,20,10,10,12
11,15,13,17,9,14,11,13,3,13,0,2,11,16,7,11,18,13,18,17,5,18,14,11,18,12,13,16,9,18,6
10,14,12,16,9,13,10,12,3,12,3,0,10,14,7,10,17,12,17,16,5,17,13,10,17,11,12,15,7,17,5
16,8,20,23,17,20,6,7,11,7,10,9,0,8,12,11,13,8,12,24,13,12,20,17,25,8,4,22,7,12,9
16,5,22,25,22,23,10,7,16,10,16,14,10,0,16,12,7,7,5,26,19,7,23,20,26,7,8,25,14,5,14
6,15,17,20,10,16,14,15,7,15,8,6,12,14,0,6,15,15,17,18,11,16,16,13,17,11,13,18,11,17,6
10,12,21,24,15,21,12,12,10,13,10,9,10,12,7,0,12,12,14,20,14,13,21,18,20,7,10,22,10,13,8
17,7,24,27,22,25,12,9,17,12,17,16,13,7,16,12,0,8,6,26,20,3,24,22,26,7,11,26,15,6,15
19,3,21,24,20,21,8,3,16,8,15,15,10,7,19,15,9,0,7,25,18,7,21,18,26,10,8,23,14,7,15
17,5,24,27,23,24,10,7,17,10,17,16,11,4,17,12,4,6,0,26,20,5,24,21,26,8,9,26,15,3,15
16,22,18,21,11,10,19,21,15,20,15,15,22,24,17,20,27,21,26,0,18,26,10,10,11,23,22,12,19,26,18
10,16,14,17,10,15,13,14,2,14,4,3,12,16,6,10,18,15,19,18,0,18,15,11,18,12,14,17,10,19,5
16,6,23,27,22,24,11,7,17,11,17,16,13,7,16,12,4,7,7,26,20,0,24,21,26,7,11,26,15,7,15
16,22,17,21,9,1,19,20,15,20,15,15,22,24,16,21,28,21,26,11,17,26,0,6,14,23,22,4,19,26,17
