Name: ber-n10-m4-c2-OD-large
Type: GPDPOD-IMC
Commodity type: 4
Compartment num: 2
CapacityHD: 100
VehicleHDs: 4
CapacityOD: 50
VehicleODs: 12
ID Xc Yc DEMAND StartT EndT SerT PairedID
0,52.4517877,13.3258861,[0, 0, 0, 0],0,240,0,0
1,52.4280112,13.4940611,[14, 6, 2, 36],42,162,5,6
2,52.4266618,13.6889283,[7, 2, 1, 9],22,142,5,7
3,52.6025949,13.2410771,[7, 2, 1, 5],49,169,5,8
4,52.4356307,13.4853072,[7, 2, 1, 10],0,240,5,9
5,52.6091042,13.2467914,[3, 1, 0, 6],0,100,5,10
6,52.5834767,13.2965678,[-14, -6, -2, -36],81,201,5,1
7,52.4340296,13.5057526,[-7, -2, -1, -9],56,176,5,2
8,52.584138,13.3926011,[-7, -2, -1, -5],76,196,5,3
9,52.4578608,13.1453329,[-7, -2, -1, -10],0,240,5,4
10,52.5669781,13.4108147,[-3, -1, 0, -6],38,158,5,5
StartID EndID StartX StartY EndX EndY StartT EndT
11,23,52.4213016,13.1575329,52.5536897,13.3722206,64,520
12,24,52.5827796,13.4203959,52.5364996,13.1954952,45,516
13,25,52.4192615,13.2755279,52.5196412,13.2606392,116,476
14,26,52.4176378,13.4772922,52.4895023,13.5802481,28,478
15,27,52.5073389,13.5182123,52.5005844,13.5240143,0,387
16,28,52.6173252,13.4945523,52.618849,13.4942687,85,445
17,29,52.4351219,13.460394,52.6356544,13.297939,48,522
18,30,52.427733,13.4777046,52.5613011,13.4458964,83,464
19,31,52.4217253,13.5388728,52.4221335,13.3417295,0,480
20,32,52.4352535,13.4622307,52.5697274,13.3219033,0,483
21,33,52.4574222,13.5182205,52.4845529,13.5242616,102,462
22,34,52.4200918,13.492152,52.4825644,13.5193375,0,423
edge
0,19,42,29,18,31,23,19,31,36,29,22,32,12,21,30,42,18,21,22,18,23,21,24,24,16,36,29,41,35,29,10,21,28,26
22,0,29,41,6,42,34,6,37,47,33,36,39,29,5,21,46,8,5,9,7,11,3,31,35,27,25,19,45,46,32,24,33,18,16
44,29,0,63,29,64,56,26,53,69,49,58,54,51,30,33,60,32,30,24,32,23,30,50,57,49,28,32,59,68,46,48,54,30,28
29,38,61,0,37,3,9,38,22,38,24,33,25,34,40,39,37,37,40,41,37,42,40,19,21,20,47,40,37,18,29,36,13,44,43
19,4,28,38,0,39,32,5,35,44,31,33,36,27,6,20,43,6,6,9,5,10,6,29,33,25,24,18,43,43,30,22,30,17,15
30,40,62,3,39,0,11,39,23,39,25,34,26,35,41,40,39,38,41,43,38,43,41,21,23,21,48,41,38,17,30,38,14,45,45
23,33,55,9,31,11,0,32,16,36,17,27,18,28,34,33,30,31,34,36,31,36,34,13,20,14,41,34,30,15,23,30,7,38,38
20,5,26,39,5,40,32,0,35,45,31,34,37,27,6,18,44,9,6,7,8,7,6,29,33,25,21,16,43,44,30,24,31,15,13
30,37,53,21,35,23,16,36,0,43,6,34,5,35,38,25,18,34,37,39,34,33,38,9,28,21,33,26,17,20,13,37,13,30,30
35,45,67,38,44,39,36,44,44,0,43,38,45,40,46,53,57,43,46,48,43,48,46,37,18,23,61,54,57,47,46,43,34,54,51
29,33,49,24,31,25,17,32,6,43,0,33,8,34,34,21,17,30,33,35,30,29,34,8,27,20,29,22,16,25,8,34,14,26,26
25,35,57,34,34,35,28,34,36,40,34,0,37,21,36,45,49,33,36,38,34,38,36,28,28,20,51,45,49,39,38,28,26,44,41
32,37,54,25,36,26,18,36,5,45,8,36,0,37,38,24,14,35,38,40,35,34,39,11,30,23,32,25,14,24,10,39,15,29,29
11,27,49,35,26,36,29,26,36,41,35,17,38,0,28,37,49,25,28,30,26,30,28,29,29,21,43,37,49,40,36,13,27,36,33
22,5,30,41,6,42,35,6,38,47,33,36,39,30,0,22,46,7,4,10,6,11,4,32,36,28,25,20,46,46,33,22,33,19,17
32,20,32,40,20,41,34,18,26,54,22,45,26,39,21,0,31,22,21,21,22,15,21,24,41,34,12,4,31,42,18,36,30,8,9
43,45,61,37,44,38,30,44,18,58,17,48,14,49,47,31,0,43,46,47,43,41,47,24,43,36,39,32,1,35,17,47,27,36,36
18,7,32,38,6,39,32,9,34,44,30,33,35,26,6,22,42,0,5,13,1,12,6,29,32,24,26,20,42,43,29,18,30,19,17
21,5,30,41,5,42,34,6,37,47,33,36,39,29,3,21,46,5,0,10,5,11,4,31,35,27,25,20,45,46,33,20,33,18,16
24,9,23,42,9,44,36,7,39,49,35,37,40,31,10,21,47,13,10,0,12,10,9,33,37,29,18,19,47,48,34,27,34,18,16
18,7,32,38,6,39,32,9,34,44,30,33,36,26,6,22,43,1,5,13,0,12,6,29,32,24,26,20,42,43,30,18,30,19,17
24,9,23,42,10,44,36,7,33,48,29,37,35,31,10,14,40,11,11,11,11,0,11,29,37,29,18,12,40,47,27,27,34,11,9
22,3,29,41,6,42,34,6,37,47,33,36,39,29,3,21,46,6,3,9,6,10,0,31,35,27,25,19,45,46,32,22,33,18,16
24,31,49,20,30,21,14,31,9,37,8,28,11,29,32,22,22,29,32,34,30,29,32,0,22,15,30,24,22,22,11,30,10,28,27
23,33,56,21,32,23,20,33,28,18,27,27,30,29,34,41,42,32,34,36,32,37,35,21,0,10,49,42,42,31,31,31,19,42,39
15,25,48,20,24,21,14,25,22,24,21,19,23,21,27,33,35,24,27,28,24,29,27,15,10,0,41,34,35,25,24,23,12,34,32
37,24,27,47,24,48,41,21,33,61,29,51,33,44,25,11,38,27,25,20,26,18,25,31,48,41,0,12,37,50,25,41,37,16,16
31,19,32,41,20,42,35,17,27,55,23,45,27,38,21,5,32,22,21,21,21,15,21,24,42,34,13,0,31,43,19,35,30,7,8
42,45,60,36,44,38,30,43,17,57,17,48,14,49,46,30,1,43,46,47,43,41,46,23,42,35,38,31,0,35,17,47,27,36,35
34,44,66,18,43,17,15,43,20,48,25,38,24,39,45,42,36,42,45,47,43,47,45,21,31,25,50,43,35,0,30,42,18,47,46
30,32,47,30,31,31,23,30,13,47,8,38,11,37,33,17,17,30,33,33,31,27,33,12,32,25,25,18,17,31,0,35,19,22,22
10,23,47,38,22,39,32,24,38,44,34,25,39,13,22,35,47,18,20,27,18,27,22,30,32,24,41,34,47,43,34,0,30,33,30
21,31,54,13,30,14,7,31,14,35,14,26,15,26,32,29,27,29,32,34,30,34,32,9,20,13,37,30,27,18,19,29,0,34,33
28,16,29,43,16,44,37,14,29,53,25,42,29,35,17,7,34,18,18,17,18,11,18,27,41,33,14,5,34,46,21,32,33,0,5
27,15,28,43,16,44,37,13,29,52,25,41,30,34,17,9,35,18,17,17,17,11,17,26,40,32,15,8,35,45,22,31,33,6,0
