Name: bar-n30-m4-c3-OD-small
Type: GPDPOD-IMC
Commodity type: 4
Compartment num: 3
CapacityHD: 100
VehicleHDs: 8
CapacityOD: 50
VehicleODs: 6
ID Xc Yc DEMAND StartT EndT SerT PairedID
0,41.3722496,2.1636008,[0, 0, 0, 0],0,240,0,0
1,41.4460569,2.2221081,[7, 2, 1, 16],42,162,10,16
2,41.4449665,2.2190662,[14, 6, 2, 23],112,232,10,17
3,41.3774977,2.1176535,[14, 6, 2, 31],103,223,10,18
4,41.4497458,2.2077945,[14, 6, 2, 18],118,238,10,19
5,41.3769361,2.105641,[7, 2, 1, 8],49,169,10,20
6,41.4184792,2.143728,[14, 6, 2, 31],81,201,10,21
7,41.3804674,2.0809159,[14, 6, 2, 9],0,120,10,22
8,41.4426591,2.1749909,[3, 1, 0, 5],6,126,10,23
9,41.4503532,2.2250068,[3, 6, 1, 4],95,215,10,24
10,41.4441413,2.1803301,[14, 6, 2, 12],130,240,10,25
11,41.3609936,2.0825021,[14, 6, 2, 28],4,124,10,26
12,41.4471825,2.2147637,[7, 2, 1, 7],0,240,10,27
13,41.3216326,2.0964703,[7, 2, 1, 18],0,240,10,28
14,41.4487614,2.2160931,[7, 2, 1, 10],117,237,10,29
15,41.469147,2.2341853,[14, 6, 2, 27],95,215,10,30
16,41.4698459,2.1816529,[-7, -2, -1, -16],64,184,10,1
17,41.3651642,2.1225847,[-14, -6, -2, -23],155,232,10,2
18,41.375952,2.1157719,[-14, -6, -2, -31],115,232,10,3
19,41.4625924,2.2398991,[-14, -6, -2, -18],136,220,10,4
20,41.435607,2.1179232,[-7, -2, -1, -8],85,205,10,5
21,41.3181394,2.0751992,[-14, -6, -2, -31],110,225,10,6
22,41.4113774,2.2072199,[-14, -6, -2, -9],37,157,10,7
23,41.4517244,2.2208757,[-3, -1, 0, -5],23,143,10,8
24,41.4623983,2.0504567,[-3, -6, -1, -4],130,217,10,9
25,41.4394681,2.2171632,[-14, -6, -2, -12],149,224,10,10
26,41.4496721,2.2373738,[-14, -6, -2, -28],48,168,10,11
27,41.4534857,2.2226907,[-7, -2, -1, -7],0,240,10,12
28,41.3991212,2.1567492,[-7, -2, -1, -18],0,240,10,13
29,41.4029761,2.1475665,[-7, -2, -1, -10],142,231,10,14
30,41.4105332,2.208314,[-14, -6, -2, -27],124,228,10,15
StartID EndID StartX StartY EndX EndY StartT EndT
31,37,41.4403956,2.2184485,41.4247627,2.1907999,110,470
32,38,41.448413,2.2080373,41.3169437,2.0759705,94,490
33,39,41.4277157,2.134492,41.3781464,2.1438984,91,523
34,40,41.3230732,2.0833273,41.4110871,2.1337089,0,720
35,41,41.3728922,2.081481,41.4406968,2.2181021,13,475
36,42,41.3865792,2.0707845,41.4436746,2.2355571,110,470
edge
0,18,18,11,17,12,14,16,18,18,18,16,16,14,17,19,21,11,10,18,25,16,13,18,23,17,16,18,10,10,13,17,17,16,16,16,18,14,16,6,12,18,17
19,0,2,23,6,22,16,22,11,4,10,23,4,27,5,10,12,25,22,9,26,28,11,5,26,5,7,5,19,18,11,4,6,16,29,22,25,10,28,20,16,5,6
18,2,0,22,5,21,15,21,10,4,9,22,3,26,4,9,11,24,21,8,25,27,10,4,25,4,6,4,18,17,10,3,5,14,28,21,23,10,27,20,15,4,5
9,23,22,0,19,4,13,8,16,22,17,10,20,14,20,22,21,7,2,22,22,15,17,21,20,21,22,21,11,10,17,21,19,14,16,8,10,16,15,7,10,22,23
16,6,4,20,0,19,13,19,7,5,6,20,2,24,2,8,9,22,19,8,23,25,9,3,23,5,8,4,16,15,9,5,1,13,26,19,21,8,25,19,13,6,7
10,22,20,4,17,0,11,6,14,20,15,8,19,13,19,21,20,7,3,20,21,13,18,19,18,20,23,20,12,11,18,21,18,12,14,6,8,17,13,8,10,21,23
13,16,14,12,12,12,0,13,9,15,10,13,13,20,13,15,14,14,11,14,15,18,14,13,18,15,17,14,7,5,14,15,12,5,19,13,15,10,18,11,4,16,17
14,24,22,8,20,6,13,0,17,22,18,8,21,14,21,23,22,10,7,22,23,13,22,21,21,23,25,22,15,14,22,23,20,14,14,4,4,20,13,12,12,23,25
17,10,8,16,6,14,9,15,0,9,4,15,7,22,7,9,8,18,15,9,19,21,10,7,20,9,11,8,12,11,11,9,6,8,22,15,17,7,21,16,9,10,11
17,2,4,22,5,21,16,22,10,0,9,22,4,25,3,7,11,24,22,6,26,27,10,2,25,6,5,2,18,17,10,5,5,15,27,22,24,11,27,20,15,6,4
18,10,8,16,5,15,9,16,4,8,0,16,7,23,7,9,7,19,15,8,19,21,10,7,21,8,11,8,13,11,10,9,6,9,22,16,18,8,21,17,9,9,11
15,24,22,9,19,7,13,8,16,22,17,0,21,12,21,23,21,9,8,22,23,10,22,21,20,22,25,22,15,13,22,23,20,14,11,5,9,19,10,13,12,23,25
16,4,2,20,3,19,14,20,8,3,7,20,0,24,1,8,9,23,20,7,23,25,9,2,23,4,7,3,17,15,9,5,2,13,26,20,22,9,25,19,13,5,6
14,26,25,15,25,14,19,15,23,26,24,12,24,0,24,27,28,10,14,25,29,4,20,25,27,24,24,26,19,17,21,25,25,20,3,14,17,23,4,14,18,25,25
16,4,2,20,3,19,14,20,8,4,7,20,1,24,0,8,10,23,20,7,24,25,9,2,23,4,7,3,17,15,9,5,3,13,26,20,22,9,25,19,13,5,6
21,9,9,22,7,21,15,21,10,7,9,22,8,28,7,0,11,24,21,3,25,27,13,6,25,11,7,7,19,17,14,11,7,15,28,22,24,12,27,23,15,12,8
