Name: bar-n15-m4-c2-OD0.6
Type: GPDPOD-IMC
Commodity type: 4
Compartment num: 2
CapacityHD: 100
VehicleHDs: 4
CapacityOD: 50
VehicleODs: 0
ID Xc Yc DEMAND StartT EndT SerT PairedID
0,41.3722496,2.1636008,[0, 0, 0, 0],0,240,0,0
1,41.4493932,2.2198353,[14, 6, 2, 19],43,163,10,8
2,41.4487614,2.2160931,[7, 2, 1, 10],117,237,10,9
3,41.3597275,2.0909717,[7, 2, 1, 8],114,234,10,10
4,41.4480155,2.2171536,[7, 2, 1, 12],128,240,10,11
5,41.3783978,2.1277763,[14, 6, 2, 7],42,162,10,12
6,41.3328466,2.0921043,[14, 6, 2, 21],104,224,10,13
7,41.3638313,2.0926901,[14, 6, 2, 18],23,143,10,14
8,41.4477782,2.2093682,[-14, -6, -2, -19],57,177,10,1
9,41.4029761,2.1475665,[-7, -2, -1, -10],142,231,10,2
10,41.4530228,2.2052872,[-7, -2, -1, -8],144,223,10,3
11,41.3949328,2.12944,[-7, -2, -1, -12],158,231,10,4
12,41.441527,2.2275919,[-14, -6, -2, -7],73,193,10,5
13,41.3745313,2.1450922,[-14, -6, -2, -21],125,235,10,6
14,41.4026572,2.1572714,[-14, -6, -2, -18],50,170,10,7
StartID EndID StartX StartY EndX EndY StartT EndT
15,24,41.3741969,2.1245221,41.4012738,2.1441641,140,440
16,25,41.322348,2.0923512,41.4401413,2.1478097,89,491
17,26,41.4474967,2.2216705,41.3908214,2.1745486,104,491
18,27,41.3818532,2.0520024,41.4399253,2.2379168,74,521
19,28,41.3904608,2.1457467,41.4463448,2.1763859,51,480
20,29,41.4520396,2.2128935,41.4046304,2.2047496,0,426
21,30,41.3608153,2.0761441,41.4485571,2.1827231,72,516
22,31,41.4397456,2.225673,41.4676564,2.0622343,0,486
23,32,41.44524,2.2213186,41.3734167,2.0916796,42,495
edge
0,18,17,15,17,8,16,16,16,10,17,10,17,6,11,9,15,18,19,7,17,17,16,18,9,19,8,16,19,11,18,20,15
18,0,3,22,2,20,27,22,4,16,5,18,7,22,17,22,26,5,24,19,3,23,7,7,17,13,17,8,9,12,8,23,20
16,2,0,21,1,19,26,20,3,15,3,17,6,20,16,20,25,3,22,17,2,21,6,5,16,12,15,8,8,11,7,22,19
15,23,21,0,21,10,12,5,21,14,20,12,25,13,16,10,12,24,12,12,21,6,25,25,13,17,17,26,17,21,17,18,7
17,3,2,21,0,19,26,21,3,16,4,17,7,21,17,21,26,4,23,18,2,22,6,6,16,12,16,8,8,11,7,23,19
7,22,20,10,21,0,13,11,20,8,19,6,21,4,11,3,13,22,13,6,20,12,20,22,8,16,11,20,16,15,16,17,8
12,23,22,8,22,11,0,10,21,15,22,13,22,11,17,10,5,23,14,13,22,11,21,23,14,21,15,21,20,16,20,22,10
15,23,21,4,22,10,13,0,21,14,20,12,25,12,17,10,13,24,11,13,21,6,25,25,14,17,17,26,17,22,17,18,6
16,3,2,21,2,19,26,20,0,15,3,17,6,20,15,20,25,4,22,17,2,21,7,6,15,11,15,8,7,11,6,22,19
9,17,15,14,16,7,17,14,15,0,14,5,17,9,5,10,18,18,16,5,15,15,16,18,2,11,7,17,11,11,11,15,12
17,4,3,19,3,17,25,18,3,13,0,15,7,20,15,19,25,6,20,16,3,19,7,7,14,10,15,9,6,11,5,20,17
9,18,16,11,17,4,14,11,16,6,15,0,20,7,9,6,14,19,13,5,16,12,19,20,5,12,10,19,12,14,12,13,10
17,5,5,25,6,21,26,24,7,17,7,20,0,20,17,22,25,4,26,17,5,25,3,4,18,16,15,4,11,11,11,26,23
5,20,19,10,19,4,12,11,18,9,19,7,19,0,10,5,12,20,15,5,19,14,18,20,8,17,8,18,17,13,17,18,10
10,16,14,15,15,9,19,15,14,3,14,7,16,9,0,11,19,17,17,6,14,16,15,16,4,12,6,15,12,10,12,16,13
8,22,20,8,21,2,12,9,20,9,19,7,21,4,11,0,13,22,13,6,20,11,20,22,8,16,11,21,16,15,16,17,8
14,25,24,10,24,13,5,12,23,17,24,15,24,13,20,12,0,26,17,16,24,13,23,25,16,22,17,24,22,19,22,24,12
18,2,3,23,3,21,27,22,5,17,5,19,4,21,18,22,26,0,24,18,4,23,4,3,18,13,16,5,9,12,9,24,21
19,26,24,13,25,13,18,12,24,17,23,15,28,16,19,14,18,27,0,15,24,10,28,28,16,20,20,29,20,24,20,21,9
7,18,17,12,17,5,15,12,16,5,16,4,17,6,6,7,16,19,13,0,17,13,16,18,4,13,7,17,13,11,13,15,10
18,4,2,21,2,19,27,20,4,15,3,17,6,21,16,21,26,5,22,18,0,21,7,7,16,12,16,8,8,12,7,22,19
16,24,22,5,22,11,12,6,22,15,21,13,26,13,17,11,13,25,9,13,22,0,26,26,14,18,18,27,18,22,18,19,7
16,6,7,24,7,20,25,23,7,16,8,19,4,19,16,21,24,4,25,16,7,24,0,4,17,15,14,5,11,10,10,25,22
18,3,4,23,4,21,28,22,5,17,6,19,5,21,17,23,27,2,24,18,5,23,4,0,18,14,16,7,10,13,9,24,21
9,17,15,14,15,7,17,14,15,2,13,5,17,9,5,9,18,18,15,5,15,15,16,18,0,11,7,17,11,11,11,15,12
17,14,12,15,12,13,21,14,12,9,10,11,16,16,11,14,21,15,16,12,12,15,16,16,10,0,14,17,8,15,8,16,13
7,15,14,15,15,9,17,16,13,6,14,9,14,7,7,10,17,15,18,6,15,17,13,15,7,14,0,13,14,8,14,19,15
17,8,8,25,9,22,26,25,9,18,10,21,6,21,18,22,26,7,27,18,8,26,5,7,18,16,15,0,12,11,11,26,23
17,8,7,16,7,14,21,15,6,10,5,12,11,16,12,15,22,9,17,13,6,16,10,11,10,6,13,11,0,12,2,17,14
10,12,11,19,12,16,20,20,10,12,11,15,11,14,12,16,19,13,24,12,12,21,10,12,12,15,8,11,13,0,12,24,21
17,8,6,17,7,15,23,16,6,11,5,13,10,18,13,17,23,9,18,14,6,17,10,10,12,8,14,11,3,11,0,18,15
20,24,22,17,23,15,23,17,22,15,21,13,26,18,18,17,23,25,19,15,22,18,26,26,14,18,19,27,18,24,18,0,15
13,20,19,6,19,8,12,5,18,12,17,10,23,10,14,8,12,21,10,10,19,6,22,23,11,15,15,23,14,19,15,16,0
