Name: bar-n10-m4-c2-OD0.6
Type: GPDPOD-IMC
Commodity type: 4
Compartment num: 2
CapacityHD: 100
VehicleHDs: 2
CapacityOD: 50
VehicleODs: 0
ID Xc Yc DEMAND StartT EndT SerT PairedID
0,41.3722496,2.1636008,[0, 0, 0, 0],0,240,0,0
1,41.3684347,2.0991589,[7, 2, 1, 16],67,187,10,6
2,41.3189186,2.1017005,[14, 6, 2, 7],0,240,10,7
3,41.4166572,2.1910521,[14, 6, 2, 10],112,232,10,8
4,41.4368981,2.2348379,[14, 6, 2, 19],127,240,10,9
5,41.4250776,2.2272202,[14, 6, 2, 34],0,240,10,10
6,41.4505409,2.2368208,[-7, -2, -1, -16],105,223,10,1
7,41.4269596,2.2253214,[-14, -6, -2, -7],0,240,10,2
8,41.386186,2.1769304,[-14, -6, -2, -10],133,234,10,3
9,41.4303138,2.1855012,[-14, -6, -2, -19],149,225,10,4
10,41.4251356,2.0984945,[-14, -6, -2, -34],0,240,10,5
StartID EndID StartX StartY EndX EndY StartT EndT
11,17,41.4490281,2.2108257,41.376514,2.1375849,66,531
12,18,41.4493212,2.210935,41.389356,2.1592813,25,484
13,19,41.3736968,2.1209403,41.4077817,2.1493673,66,486
14,20,41.4512399,2.215386,41.4217479,2.1417851,0,426
15,21,41.452299,2.2327227,41.444196,2.2231824,128,464
16,22,41.3551318,2.1338972,41.4645297,2.0827599,0,456
edge
0,14,15,12,15,13,16,13,7,16,19,16,17,10,17,18,9,8,6,10,15,19,23
12,0,12,18,24,23,24,23,15,19,16,20,20,6,20,24,10,9,12,13,13,24,20
14,12,0,21,23,21,24,20,16,25,23,24,24,14,25,25,10,13,15,18,20,26,27
14,19,22,0,10,9,11,9,10,5,20,10,10,15,10,12,17,13,9,7,10,13,23
16,23,24,11,0,4,6,4,14,11,24,9,9,22,8,6,20,20,15,16,15,7,25
14,22,22,9,5,0,7,2,12,9,23,7,7,21,8,8,18,18,14,14,14,9,23
17,24,25,11,6,8,0,8,14,12,25,8,8,23,7,3,21,20,16,16,16,7,25
14,22,22,9,4,1,7,0,11,9,23,6,7,21,7,8,18,18,14,14,14,8,23
6,16,15,8,12,10,13,10,0,11,18,13,14,11,14,15,11,9,4,7,11,16,22
15,18,24,4,11,10,12,10,12,0,19,8,8,16,7,11,18,14,10,8,9,11,21
19,15,22,20,25,24,25,24,18,20,0,21,21,15,21,24,18,17,15,13,14,25,14
17,20,25,11,7,9,8,9,14,9,21,0,2,20,2,6,21,20,16,15,12,6,21
17,21,25,12,8,9,8,9,15,9,22,2,0,21,3,6,21,21,17,15,13,6,22
9,6,14,14,21,21,22,20,12,18,17,21,21,0,21,23,8,5,8,10,14,24,20
17,20,25,11,6,9,7,9,15,8,21,3,3,20,0,5,21,21,17,14,12,5,21
16,23,24,11,5,8,3,8,14,12,24,7,7,22,6,0,20,20,16,16,15,7,24
8,10,10,15,18,16,19,16,12,19,18,19,20,8,20,21,0,8,9,12,15,22,22
6,9,13,12,18,18,19,17,9,15,16,19,20,5,20,21,7,0,6,9,13,22,20
6,13,16,6,13,13,14,13,4,10,16,14,14,9,15,15,10,6,0,5,9,16,20
10,12,18,8,15,15,16,15,8,10,13,14,14,9,14,17,12,10,6,0,5,17,17
13,11,18,10,15,14,16,14,11,9,12,12,12,11,11,15,14,12,9,5,0,15,16
17,24,25,11,5,7,5,7,14,10,25,6,6,23,6,6,21,20,16,16,15,0,25
25,21,28,23,24,23,24,23,24,22,13,20,20,21,20,24,24,22,20,19,19,24,0
